instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-t70d11xn_250,best,transpose,random,10492483,31.002568,0.001727,N-t70d11xn_250,15207063
N-t70d11xn_250,best,transpose,cw,12883579,15.278979,0.006838,N-t70d11xn_250,15207063
N-t70d11xn_250,best,exchange,random,10649758,29.968344,0.190958,N-t70d11xn_250,15207063
N-t70d11xn_250,best,exchange,cw,12974771,14.679311,0.215967,N-t70d11xn_250,15207063
N-t70d11xn_250,best,insert,random,10575361,30.457571,0.405989,N-t70d11xn_250,15207063
N-t70d11xn_250,best,insert,cw,12959071,14.782552,0.455193,N-t70d11xn_250,15207063
N-t65d11xx_150,first,transpose,random,2322525,34.748565,1.4e-05,N-t65d11xx_150,3559347
N-t65d11xx_150,first,transpose,cw,2956398,16.939877,0.00094,N-t65d11xx_150,3559347
N-t65d11xx_150,first,exchange,random,2326208,34.645091,1.4e-05,N-t65d11xx_150,3559347
N-t65d11xx_150,first,exchange,cw,2956690,16.931673,0.000915,N-t65d11xx_150,3559347
N-t65d11xx_150,first,insert,random,2325735,34.65838,1.4e-05,N-t65d11xx_150,3559347
N-t65d11xx_150,first,insert,cw,2959802,16.844241,0.000913,N-t65d11xx_150,3559347
N-t65d11xx_150,best,transpose,random,2334009,34.425921,0.000325,N-t65d11xx_150,3559347
N-t65d11xx_150,best,transpose,cw,2956837,16.927543,0.001239,N-t65d11xx_150,3559347
N-t65d11xx_150,best,exchange,random,2377610,33.20095,0.030715,N-t65d11xx_150,3559347
N-t65d11xx_150,best,exchange,cw,2992453,15.92691,0.029707,N-t65d11xx_150,3559347
N-t65d11xx_150,best,insert,random,2360829,33.672412,0.054171,N-t65d11xx_150,3559347
N-t65d11xx_150,best,insert,cw,2984228,16.157992,0.054521,N-t65d11xx_150,3559347
N-stabu3_250,first,transpose,random,7842016,34.10245,3.1e-05,N-stabu3_250,11900315
N-stabu3_250,first,transpose,cw,9895134,16.849814,0.004172,N-stabu3_250,11900315
N-stabu3_250,first,exchange,random,7846031,34.068712,2.1e-05,N-stabu3_250,11900315
N-stabu3_250,first,exchange,cw,9895134,16.849814,0.004163,N-stabu3_250,11900315
N-stabu3_250,first,insert,random,7845960,34.069308,2.6e-05,N-stabu3_250,11900315
N-stabu3_250,first,insert,cw,9895134,16.849814,0.0071,N-stabu3_250,11900315
N-stabu3_250,best,transpose,random,7845175,34.075905,0.00356,N-stabu3_250,11900315
N-stabu3_250,best,transpose,cw,9895394,16.84763,0.006808,N-stabu3_250,11900315
N-stabu3_250,best,exchange,random,8043767,32.407109,0.184819,N-stabu3_250,11900315
N-stabu3_250,best,exchange,cw,10025960,15.750465,0.203521,N-stabu3_250,11900315
