instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56n58_150,best,transpose,cw,1155392,956975,17.173133,0.001068
N-tiw56n58_150,best,exchange,random,1155392,1103015,4.533267,0.084542
N-tiw56n58_150,best,exchange,cw,1155392,1102351,4.590736,0.067664
N-tiw56n58_150,best,insert,random,1155392,1127878,2.381356,0.107102
N-tiw56n58_150,best,insert,cw,1155392,1128121,2.360324,0.092688
N-t70l11xx_150,first,transpose,random,436862,251178,42.504040,0.000022
N-t70l11xx_150,first,transpose,cw,436862,350517,19.764823,0.001046
N-t70l11xx_150,first,exchange,random,436862,418043,4.307768,0.266079
N-t70l11xx_150,first,exchange,cw,436862,419576,3.956856,0.275884
N-t70l11xx_150,first,insert,random,436862,422972,3.179494,0.200917
N-t70l11xx_150,first,insert,cw,436862,425493,2.602424,0.137057
N-t70l11xx_150,best,transpose,random,436862,236287,45.912668,0.000011
N-t70l11xx_150,best,transpose,cw,436862,350524,19.763220,0.000960
N-t70l11xx_150,best,exchange,random,436862,417241,4.491350,0.066153
N-t70l11xx_150,best,exchange,cw,436862,416905,4.568262,0.077643
N-t70l11xx_150,best,insert,random,436862,421352,3.550320,0.094623
N-t70l11xx_150,best,insert,cw,436862,421948,3.413893,0.083426
N-tiw56r58_250,first,transpose,random,3060323,2084256,31.894248,0.000087
N-tiw56r58_250,first,transpose,cw,3060323,2581855,15.634559,0.004540
N-tiw56r58_250,first,exchange,random,3060323,2971903,2.889238,5.031854
N-tiw56r58_250,first,exchange,cw,3060323,2966777,3.056736,4.270529
N-tiw56r58_250,first,insert,random,3060323,3011239,1.603883,4.551285
N-tiw56r58_250,first,insert,cw,3060323,2999376,1.991522,3.401684
N-tiw56r58_250,best,transpose,random,3060323,2089257,31.730834,0.000073
N-tiw56r58_250,best,transpose,cw,3060323,2582642,15.608843,0.004765
N-tiw56r58_250,best,exchange,random,3060323,2965415,3.101241,0.763299
N-tiw56r58_250,best,exchange,cw,3060323,2965452,3.100032,0.781966
N-tiw56r58_250,best,insert,random,3060323,2991474,2.249730,0.966059
N-tiw56r58_250,best,insert,cw,3060323,2980782,2.599105,0.880715
N-t75k11xx_250,first,transpose,random,4093849,2818326,31.157060,0.000027
N-t75k11xx_250,first,transpose,cw,4093849,3461841,15.437990,0.004138
N-t75k11xx_250,first,exchange,random,4093849,3994933,2.416210,5.650063
N-t75k11xx_250,first,exchange,cw,4093849,3949293,3.531054,4.183521
N-t75k11xx_250,first,insert,random,4093849,4007806,2.101763,4.245300
N-t75k11xx_250,first,insert,cw,4093849,4036258,1.406769,2.762085
N-t75k11xx_250,best,transpose,random,4093849,2741621,33.030725,0.000057
N-t75k11xx_250,best,transpose,cw,4093849,3462392,15.424531,0.004161
N-t75k11xx_250,best,exchange,random,4093849,3921587,4.207825,0.775791
N-t75k11xx_250,best,exchange,cw,4093849,3931395,3.968246,0.736090
